MARCA|PRODUTO|UNIDADE|EM ESTOQUE (unid.)|CUSTO (R$/unid.)|ESTOQUE    (R$)|CAPITAL        (R$)
Dalla|Chope-DryStout|L|30|12|360|0
Dalla|Chope-GermanPilsner|L|90|7|630|75
Dalla|Chope-IPA|L|100|8.5|850|-151.5
RoletaRussa|Chope-IPA2|L|0|11.61|0|0
Dalla|Chope-Pilsen|L|90|5|450|1680
Imigraç\~ao|Chope-PilsenExport|L|0|8.15|0|0
RoletaRussa|G500-AmericanBrownAle|500mL|0|8.7|0|0
RoletaRussa|G500-APA|500mL|18|10.34|186.12|7.2
RoletaRussa|G500-ImperialIPA|500mL|6|12.29|73.74|2.94
RoletaRussa|G500-ImperialIPA|500mL|6|12.29|73.74|2.94
RoletaRussa|G500-IPA|500mL|12|10.55|126.6|4.92
RoletaRussa|G500-NewEnglandIPA|500mL|12|11.6|139.2|5.52
Imigraç\~ao|G500-Pilsen|500mL|0|6.19|0|0
Imigraç\~ao|G500-PilsenExport|500mL|12|7.48|89.76|3.12
Imigraç\~ao|G500-PilsenPremium|500mL|12|7.19|86.28|3
RoletaRussa|G500-SessionIPA|500mL|20|9.84|196.8|6.4
RoletaRussa|G500-TripleIPA|500mL|0|17.24|0|0
RoletaRussa|G500-TripleNewEnglandIPA|500mL|0|18.99|0|0
Imigraç\~ao|G500-Weiss|500mL|24|7.87|188.88|6.72
RoletaRussa|GLong-APA|355mL|0|3.74|0|0
Imigraç\~ao|GLong-CitrusJuiceIPA|355mL|0|4.49|0|0
RoletaRussa|GLong-EasyIPA|355mL|24|3.51|84.24|14.49
Barbarella|GLong-Framboesa|355mL|30|4.16|124.8|4.5
Imigraç\~ao|GLong-HopLager|355mL|0|3.4|0|0
RoletaRussa|GLong-IPA|355mL|0|4.04|0|0
Barbarella|GLong-Maracuj\'a|355mL|4|4.16|16.64|0.6
Imigraç\~ao|GLong-Pilsen|355mL|60|3.13|187.8|378.81
Barbarella|GLong-Pomelo|355mL|0|4.16|0|0
Imigraç\~ao|GLong-SourMoscatelLambic|355mL|0|15.69|0|0
Barbarella|GLong-Uva|355mL|0|4.16|0|0
RoletaRussa|Lata-EasyIPA|350mL|100|2.81|281|9
RoletaRussa|Lata-ImperialIPA|350mL|6|5.28|31.68|1.2
RoletaRussa|Lata-NewEnglandIPA|350mL|18|3.85|69.3|2.52
RoletaRussa|Outros-CopoHannover|-|0|8.5|0|0
RoletaRussa|Outros-CopoPulseira|-|0|11.49|0|0
RoletaRussa|Outros-Kit6GLong_CopoPulseira|-|0|6.7|0|0
Imigraç\~ao|Outros-KitG500Export_Copo|-|0|1.95|0|0
Imigraç\~ao|Outros-KitG500Premium_Copo|-|0|1.95|0|0
Dalla|Outros-TiraCopos300|-|80|5|400|0
Dalla|PET-IPA|1,5L|66|14.8|976.8|36.4
Dalla|PET-Pilsen|1,5L|40|9.6|384|61.5
