MARCA|PRODUTO|UNIDADE|EM ESTOQUE (unid.)|CUSTO (R$/unid.)|ESTOQUE    (R$)|CAPITAL        (R$)
Kair\'os|Chope-CreamAle|L|30|10.64|319.2|1219.2
Kair\'os|Chope-DoubleIPA|L|30|19.82|594.6|594.6
Dalla|Chope-GermanPilsner|L|0|7.9|0|330
Dalla|Chope-IPA|L|45|8.9|400.5|1069.5
Kair\'os|Chope-IrishRedAle|L|0|10.8|0|0
Lassberg|Chope-Lager|L|0|6.5|0|760
Dalla|Chope-OatmealStout|L|30|12|360|360
Dalla|Chope-Pilsen|L|300|5|1500|3210
Kair\'os|Chope-WestCoastIPA|L|40|14|560|560
Kair\'os|Chope-Witbier|L|60|10.8|648|648
Kair\'os|G600-CreamAle|600mL|50|10.8|540|567
Kair\'os|G600-IPA|600mL|1|10.8|10.8|55.8
Kair\'os|G600-IrishRedAle|600mL|1|10.8|10.8|10.8
Kair\'os|G600-Stout|600mL|0|10.8|0|0
Kair\'os|G600-Weiss|600mL|236|10.8|2548.8|2563.8
Kair\'os|G600-Witbier|600mL|196|10.8|2116.8|2472
Dalla|PET-IPA|1,5L|2|15.4|30.8|30.8
Dalla|PET-Pilsen|1,5L|16|9.4|150.4|367
