MARCA|PRODUTO|UNIDADE|EM ESTOQUE (unid.)|CUSTO (R$/unid.)|ESTOQUE    (R$)|CAPITAL        (R$)
Kair\'os|Chope-CreamAle|L|30|10.64|319.2|580.8
Kair\'os|Chope-DoubleIPA|L|30|19.82|594.6|605.4
Dalla|Chope-GermanPilsner|L|0|7.9|0|211.5
Dalla|Chope-IPA|L|0|8.9|0|585
Kair\'os|Chope-IrishRedAle|L|0|10.8|0|576
Lassberg|Chope-Lager|L|0|6.5|0|1140
Dalla|Chope-OatmealStout|L|30|12|360|0
Dalla|Chope-Pilsen|L|300|5|1500|4275
Kair\'os|Chope-WestCoastIPA|L|40|14|560|960
Kair\'os|Chope-Witbier|L|60|10.8|648|1152
Kair\'os|G600-CreamAle|600mL|50|10.8|540|102
Kair\'os|G600-IPA|600mL|1|10.8|10.8|79.8
Kair\'os|G600-IrishRedAle|600mL|1|10.8|10.8|29.4
Kair\'os|G600-Stout|600mL|0|10.8|0|0
Kair\'os|G600-Weiss|600mL|236|10.8|2548.8|16.8
Kair\'os|G600-Witbier|600mL|196|10.8|2116.8|96
Dalla|PET-IPA|1,5L|2|15.4|30.8|346.8
Dalla|PET-Pilsen|1,5L|16|9.4|150.4|169
