Item|Qtd|Tipo|Marca|Valor Unit.|Valor Total
Barril|7|E-30L||400|2800
Barril|4|E-50L||400|1600
Barril|2|S-10L||300|600
Barril|12|S-15L||350|4200
Chopeira|8|1 Torneira|TSI|2900|23200
Chopeira|7|1 Torneira|Roover|2700|18900
Chopeira|1|1 Torneira (c/ gelo)|Memo|1000|1000
Chopeira|2|2 Torneiras|Memo|2500|5000
Chopeira|3|2 Torneiras|Roover|4200|12600
Cilindro|20|Diversos||400|8000
Freezer|1|C\^amara Fria|Scoss Refrigeraç\~ao|25000|25000
V\'alvula|17|1 Sa\'ida||150|2550
V\'alvula|3|1 Sa\'ida (c/ man\^ometro)||200|600
V\'alvula|3|2 Sa\'idas||250|750
Ve\'iculo|1|Autom\'ovel|Fiat Uno 2007|10000|10000
Ve\'iculo|1|Autom\'ovel|Volkswagen Gol 2013|20000|20000
Ve\'iculo|1|Furg\~ao|Citroën Jumper 2014|65000|65000
