PRODUTO|MARCA|ESTOQUE|UNID|QTD|VALOR|CUSTO|PREÇO|PREÇO2|CODIGO|ENTRADA|SAIDA|SALDO|ENTRADA2|SAIDA2|SALDO2|RESTANTE|ACUMULADO|ENTRADAY|SAIDAY|SALDOY|ENTRADA2Y|SAIDA2Y|SALDO2Y|ACUMULADOY
Chope-DryStout|Dalla|30|L|0|12|12|16|16|Chope_DryStout|30|0|30|360|0|-360|360|0|30|0|30|360|0|-360|0
Chope-GermanPilsner|Dalla|90|L|45|7|7|12|12|Chope_GermanPilsner|105|15|90|735|180|-555|630|75|105|15|90|735|180|-555|75
Chope-IPA|Dalla|100|L|55|8.5|8.5|16|16|Chope_IPA|160|60|100|1360|358.5|-1001.5|850|-151.5|160|60|100|1360|358.5|-1001.5|-151.5
Chope-IPA2|RoletaRussa|60|L|0|11.61|11.61|0|0|Chope_IPA2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Chope-Pilsen|Dalla|90|L|0|5|5|10|10|Chope_Pilsen|525|435|90|2625|3855|1230|450|1680|525|435|90|2625|3855|1230|1680
Chope-PilsenExport|Imigração|30|L|0|8.15|8.15|0|0|Chope_PilsenExport|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G500-AmericanBrownAle|RoletaRussa|12|500mL|0|8.7|8.7|0|0|G500_AmericanBrownAle|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G500-APA|RoletaRussa|18|500mL|0|10.34|10.34|0|0|G500_APA|18|0|18|178.92|0|-178.92|186.12|7.2|18|0|18|178.92|0|-178.92|7.2
G500-ImperialIPA|RoletaRussa|6|500mL|0|12.29|12.29|0|0|G500_ImperialIPA|6|0|6|70.8|0|-70.8|73.74|2.94|6|0|6|70.8|0|-70.8|2.94
G500-IPA|RoletaRussa|12|500mL|0|10.55|10.55|0|0|G500_IPA|12|0|12|121.68|0|-121.68|126.6|4.92|12|0|12|121.68|0|-121.68|4.92
G500-NewEnglandIPA|RoletaRussa|12|500mL|0|11.6|11.6|0|0|G500_NewEnglandIPA|12|0|12|133.68|0|-133.68|139.2|5.52|12|0|12|133.68|0|-133.68|5.52
G500-Pilsen|Imigração|60|500mL|0||6.19|7.9|0|G500_Pilsen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G500-PilsenExport|Imigração|72|500mL|0|7.48|7.48|0|0|G500_PilsenExport|12|0|12|86.64|0|-86.64|89.76|3.12|12|0|12|86.64|0|-86.64|3.12
G500-PilsenPremium|Imigração|72|500mL|0|7.19|7.19|0|0|G500_PilsenPremium|12|0|12|83.28|0|-83.28|86.28|3|12|0|12|83.28|0|-83.28|3
G500-SessionIPA|RoletaRussa|20|500mL|0|9.84|9.84|13.7|13.7|G500_SessionIPA|24|4|20|230.4|40|-190.4|196.8|6.4|24|4|20|230.4|40|-190.4|6.4
G500-TripleIPA|RoletaRussa|6|500mL|0|17.24|17.24|0|0|G500_TripleIPA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G500-TripleNewEnglandIPA|RoletaRussa|6|500mL|0|18.99|18.99|0|0|G500_TripleNewEnglandIPA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
G500-Weiss|Imigração|24|500mL|0|7.87|7.87|0|0|G500_Weiss|24|0|24|182.16|0|-182.16|188.88|6.72|24|0|24|182.16|0|-182.16|6.72
GLong-APA|RoletaRussa|12|355mL|0||3.74|0|0|GLong_APA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-CitrusJuiceIPA|Imigração|12|355mL|0|4.49|4.49|0|0|GLong_CitrusJuiceIPA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-EasyIPA|RoletaRussa|24|355mL|1|3.51|3.51|4.4|4.4|GLong_EasyIPA|25|1|24|84.75|15|-69.75|84.24|14.49|25|1|24|84.75|15|-69.75|14.49
GLong-Framboesa|Barbarella|30|355mL|0|4.16|4.16|0|0|GLong_Framboesa|30|0|30|120.3|0|-120.3|124.8|4.5|30|0|30|120.3|0|-120.3|4.5
GLong-HopLager|Imigração|12|355mL|0|3.4|3.4|0|0|GLong_HopLager|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-IPA|RoletaRussa|24|355mL|0||4.04|0|0|GLong_IPA|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-Maracujá|Barbarella|16|355mL|0|4.16|4.16|0|0|GLong_Maracujá|4|0|4|16.04|0|-16.04|16.64|0.6|4|0|4|16.04|0|-16.04|0.6
GLong-Morango|Barbarella|12|355mL|0|4.16|4.16|0|0|GLong_Morango|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-Pilsen|Imigração|60|355mL|31|3.13|3.13|0|0|GLong_Pilsen|93|33|60|281.79|472.8|191.01|187.8|378.81|93|33|60|281.79|472.8|191.01|378.81
GLong-Pomelo|Barbarella|12|355mL|0|4.16|4.16|0|0|GLong_Pomelo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-SourMoscatelLambic|Imigração|6|355mL|0|15.69|15.69|0|0|GLong_SourMoscatelLambic|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GLong-Uva|Barbarella|12|355mL|0|4.16|4.16|0|0|GLong_Uva|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Lata-EasyIPA|RoletaRussa|100|350mL|0|2.81|2.81|0|0|Lata_EasyIPA|100|0|100|272|0|-272|281|9|100|0|100|272|0|-272|9
Lata-ImperialIPA|RoletaRussa|6|350mL|0|5.28|5.28|0|0|Lata_ImperialIPA|6|0|6|30.48|0|-30.48|31.68|1.2|6|0|6|30.48|0|-30.48|1.2
Lata-NewEnglandIPA|RoletaRussa|18|350mL|0|3.85|3.85|0|0|Lata_NewEnglandIPA|18|0|18|66.78|0|-66.78|69.3|2.52|18|0|18|66.78|0|-66.78|2.52
Outros-CopoHannover|RoletaRussa|24|-|0|8.5|8.5|12|0|Outros_CopoHannover|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Outros-CopoPulseira|RoletaRussa|12|-|0|11.49|11.49|15|0|Outros_CopoPulseira|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
