MARCA|PRODUTO|UNIDADE|ENTRADA     (unid.)|SA\'IDA     (unid.)|SALDO     (unid.)|ENTRADA    (R$)|SA\'IDA          (R$)|SALDO        (R$)
Dalla|Chope-DryStout|L|30|0|30|360|0|-360
Dalla|Chope-GermanPilsner|L|105|15|90|735|180|-555
Dalla|Chope-IPA|L|160|60|100|1360|358.5|-1001.5
RoletaRussa|Chope-IPA2|L|0|0|0|0|0|0
Dalla|Chope-Pilsen|L|525|435|90|2625|3855|1230
Imigraç\~ao|Chope-PilsenExport|L|0|0|0|0|0|0
RoletaRussa|G500-AmericanBrownAle|500mL|0|0|0|0|0|0
RoletaRussa|G500-APA|500mL|18|0|18|178.92|0|-178.92
RoletaRussa|G500-ImperialIPA|500mL|6|0|6|70.8|0|-70.8
RoletaRussa|G500-IPA|500mL|12|0|12|121.68|0|-121.68
RoletaRussa|G500-NewEnglandIPA|500mL|12|0|12|133.68|0|-133.68
Imigraç\~ao|G500-Pilsen|500mL|0|0|0|0|0|0
Imigraç\~ao|G500-PilsenExport|500mL|12|0|12|86.64|0|-86.64
Imigraç\~ao|G500-PilsenPremium|500mL|12|0|12|83.28|0|-83.28
RoletaRussa|G500-SessionIPA|500mL|24|4|20|230.4|40|-190.4
RoletaRussa|G500-TripleIPA|500mL|0|0|0|0|0|0
RoletaRussa|G500-TripleNewEnglandIPA|500mL|0|0|0|0|0|0
Imigraç\~ao|G500-Weiss|500mL|24|0|24|182.16|0|-182.16
RoletaRussa|GLong-APA|355mL|0|0|0|0|0|0
Imigraç\~ao|GLong-CitrusJuiceIPA|355mL|0|0|0|0|0|0
RoletaRussa|GLong-EasyIPA|355mL|25|1|24|84.75|15|-69.75
Barbarella|GLong-Framboesa|355mL|30|0|30|120.3|0|-120.3
Imigraç\~ao|GLong-HopLager|355mL|0|0|0|0|0|0
RoletaRussa|GLong-IPA|355mL|0|0|0|0|0|0
Barbarella|GLong-Maracuj\'a|355mL|4|0|4|16.04|0|-16.04
Barbarella|GLong-Morango|355mL|0|0|0|0|0|0
Imigraç\~ao|GLong-Pilsen|355mL|93|33|60|281.79|472.8|191.01
Barbarella|GLong-Pomelo|355mL|0|0|0|0|0|0
Imigraç\~ao|GLong-SourMoscatelLambic|355mL|0|0|0|0|0|0
Barbarella|GLong-Uva|355mL|0|0|0|0|0|0
RoletaRussa|Lata-EasyIPA|350mL|100|0|100|272|0|-272
RoletaRussa|Lata-ImperialIPA|350mL|6|0|6|30.48|0|-30.48
RoletaRussa|Lata-NewEnglandIPA|350mL|18|0|18|66.78|0|-66.78
RoletaRussa|Outros-CopoHannover|-|0|0|0|0|0|0
RoletaRussa|Outros-CopoPulseira|-|0|0|0|0|0|0
RoletaRussa|Outros-Kit6GLong_CopoPulseira|-|0|0|0|0|0|0
Imigraç\~ao|Outros-KitG500Export_Copo|-|0|0|0|0|0|0
Imigraç\~ao|Outros-KitG500Premium_Copo|-|0|0|0|0|0|0
Dalla|Outros-TiraCopos300|-|80|0|80|400|0|-400
Dalla|PET-IPA|1,5L|73|7|66|1080.4|140|-940.4
Dalla|PET-Pilsen|1,5L|52|12|40|499.2|176.7|-322.5
