Produto|Marca|Qtd.|Unid.
Chope-DryStout|Dalla|30|L
Chope-GermanPilsner|Dalla|90|L
Chope-IPA|Dalla|100|L
Chope-IPA2|RoletaRussa|0|L
Chope-Pilsen|Dalla|90|L
Chope-PilsenExport|Imigraç\~ao|0|L
G500-AmericanBrownAle|RoletaRussa|0|500mL
G500-APA|RoletaRussa|18|500mL
G500-ImperialIPA|RoletaRussa|6|500mL
G500-IPA|RoletaRussa|12|500mL
G500-NewEnglandIPA|RoletaRussa|12|500mL
G500-Pilsen|Imigraç\~ao|0|500mL
G500-PilsenExport|Imigraç\~ao|12|500mL
G500-PilsenPremium|Imigraç\~ao|12|500mL
G500-SessionIPA|RoletaRussa|20|500mL
G500-TripleIPA|RoletaRussa|0|500mL
G500-TripleNewEnglandIPA|RoletaRussa|0|500mL
G500-Weiss|Imigraç\~ao|24|500mL
GLong-APA|RoletaRussa|0|355mL
GLong-CitrusJuiceIPA|Imigraç\~ao|0|355mL
GLong-EasyIPA|RoletaRussa|24|355mL
GLong-Framboesa|Barbarella|30|355mL
GLong-HopLager|Imigraç\~ao|0|355mL
GLong-IPA|RoletaRussa|0|355mL
GLong-Maracuj\'a|Barbarella|4|355mL
GLong-Morango|Barbarella|0|355mL
GLong-Pilsen|Imigraç\~ao|60|355mL
GLong-Pomelo|Barbarella|0|355mL
GLong-SourMoscatelLambic|Imigraç\~ao|0|355mL
GLong-Uva|Barbarella|0|355mL
Lata-EasyIPA|RoletaRussa|100|350mL
Lata-ImperialIPA|RoletaRussa|6|350mL
Lata-NewEnglandIPA|RoletaRussa|18|350mL
Outros-CopoHannover|RoletaRussa|0|-
Outros-CopoPulseira|RoletaRussa|0|-
Outros-Kit6GLong_CopoPulseira|RoletaRussa|0|-
Outros-KitG500Export_Copo|Imigraç\~ao|0|-
Outros-KitG500Premium_Copo|Imigraç\~ao|0|-
Outros-TiraCopos300|Dalla|80|-
PET-IPA|Dalla|66|1,5L
PET-Pilsen|Dalla|40|1,5L
