MARCA|PRODUTO|UNIDADE|ENTRADA     (unid.)|SA\'IDA     (unid.)|SALDO     (unid.)|ENTRADA    (R$)|SA\'IDA            (R$)|SALDO        (R$)
Kair\'os|Chope-CreamAle|L|60|30|30|638.4|900|261.6
Kair\'os|Chope-DoubleIPA|L|60|30|30|1189.2|1200|10.8
Dalla|Chope-GermanPilsner|L|15|15|0|118.5|330|211.5
Dalla|Chope-IPA|L|150|105|45|1335|1920|585
Kair\'os|Chope-IrishRedAle|L|30|30|0|324|900|576
Lassberg|Chope-Lager|L|200|200|0|1300|2440|1140
Dalla|Chope-OatmealStout|L|30|0|30|360|0|-360
Dalla|Chope-Pilsen|L|600|300|300|1725|4500|2775
Kair\'os|Chope-WestCoastIPA|L|100|60|40|1400|1800|400
Kair\'os|Chope-Witbier|L|120|60|60|1296|1800|504
Kair\'os|G600-CreamAle|600mL|75|25|50|810|372|-438
Kair\'os|G600-IPA|600mL|20|19|1|216|285|69
Kair\'os|G600-IrishRedAle|600mL|8|7|1|86.4|105|18.6
Kair\'os|G600-Stout|600mL|0|0|0|0|0|0
Kair\'os|G600-Weiss|600mL|240|4|236|2592|60|-2532
Kair\'os|G600-Witbier|600mL|240|44|196|2592|571.2|-2020.8
Dalla|PET-IPA|1,5L|60|58|2|924|1240|316
Dalla|PET-Pilsen|1,5L|60|44|16|564|582.6|18.6
