Produto|Marca|Qtd.|Unid.
Chope-Pilsen|Dalla|300|L
Chope-IPA|Dalla|45|L
Chope-OatmealStout|Dalla|30|L
PET-Pilsen|Dalla|16|1,5L
PET-IPA|Dalla|2|1,5L
Chope-GermanPilsner|Dalla|0|L
G600-Weiss|Kair\'os|236|600mL
G600-Witbier|Kair\'os|196|600mL
Chope-Witbier|Kair\'os|60|L
G600-CreamAle|Kair\'os|50|600mL
Chope-WestCoastIPA|Kair\'os|40|L
Chope-CreamAle|Kair\'os|30|L
Chope-DoubleIPA|Kair\'os|30|L
G600-IPA|Kair\'os|1|600mL
G600-IrishRedAle|Kair\'os|1|600mL
Chope-IrishRedAle|Kair\'os|0|L
G600-Stout|Kair\'os|0|600mL
Chope-Lager|Lassberg|0|L
